NO! NO! NO! Common misconceptions,remaining text,word count,Google hits,lot of noise (i.e. myth busting) in search result,Google search,category,Source Name,source,source,source,source,source
A Fatwa is an Islamic death sentence,Fatwā means 'non-binding legal opinion'.,5,"233,000","fatwa ""death sentence""",,religion,BMJ,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1124693/?tool=pmcentrez,,,,
A gene for...,"Genes code for proteins, so there are actually no genes ‘for’ specific characeristics, esp. not psychological ones. ",17,"375,000,000",,https://www.google.com/?gfe_rd=cr&ei=YP8cVreSItKs8wfKyISQDQ#q=a+gene+for,science,Science and Education,http://link.springer.com/article/10.1007%2Fs11191-012-9510-4,,,,
"A Jihad is a ""holy war""","It actually translates as ""struggle"".",5,"1,870,000","jihad is ""holy war""",,religion,"War and Peace in the Law of Islam, by Majid Khadduri ",http://books.google.co.uk/books?id=UHWd6gLZsFIC&lpg=PP1&pg=PA74&redir_esc=y#v=onepage&q&f=false,http://www.kuna.net.kw/ArticleDetails.aspx?id=1719934&language=en,,,
Adding salt to water makes it boil more quickly,Adding a sprinkle of salt to fresh water makes only a negligible difference to boiling time,16,"11,300,000",,https://www.google.com/search?q=salt+make+water+boil&oq=salt+make+water+boil&sourceid=chrome&ie=UTF-8,cooking,Southwest Research Institute,http://www.swri.org/10light/water.htm,,,,
Alcohol keeps you warm,Alcohol dilates warm blood vessels near the skin creating the impression of warmth but it can actually drop core body temperature.,21,"18,100","y,  ""alcohol keeps you warm""",https://www.google.co.uk/search?hl=en&safe=off&tbo=d&biw=1375&bih=700&q=%22alcohol+keeps+you+warm%22&oq=%22alcohol+keeps+you+warm%22&gs_l=serp.12..0j0i30j0i5i30l4.82885.85365.0.86988.2.2.0.0.0.0.109.191.1j1.2.0.les%3B..0.0...1c.1.XnnEwgxqZak,health,"Middlesboro Daily News, About.com","http://news.google.com/newspapers?id=kG5BAAAAIBAJ&sjid=QKkMAAAAIBAJ&pg=5953,3984482",http://firstaid.about.com/od/heatcoldexposur1/f/07_alcohol_warm.htm,,,
Alcohol kills brain cells,Only in heavy users and alcoholics who rely on alcohol to get most of their calories.,16,"393,000","""alcohol kills brain cells""",https://www.google.co.uk/search?hl=en&safe=off&tbo=d&biw=1375&bih=700&q=%22alcohol+kills+brain+cells%22&oq=%22alcohol+kills+brain+cells%22&gs_l=serp.3..0l3j0i30l7.44026.47624.0.48853.16.16.0.0.0.1.294.1483.14j1j1.16.0.les%3B..0.0...1c.1.N6P3WA2B5tc,health,"Alcoholism: Clinical and Experimental Research, Alcohol & Alcoholism",http://onlinelibrary.wiley.com/doi/10.1111/j.1530-0277.1993.tb00720.x/abstract,http://alcalc.oxfordjournals.org/content/44/2/148,,,
An “Autism Epidemic”,"There’s only been an increase in diagnoses of autism, caused by heightened awareness of the ailment, not incidence.",18,"1,130,000",,https://www.google.com/?gfe_rd=cr&ei=YP8cVreSItKs8wfKyISQDQ&gws_rd=cr#q=autism+epidemic,body,Psychological Medicine,http://www.ncbi.nlm.nih.gov/pubmed?Db=pubmed&Cmd=ShowDetailView&TermToSearch=25108395,,,,
Antioxidants are good for us,"Antioxidants don’t do anything for our health, might actually be harmful. Research shows they have no effect on free-radicals in the body, don’t prevent ageing.",25,"30,700,000",,https://www.google.co.uk/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=antioxidants,science,Nature,http://www.nature.com/news/the-science-myths-that-will-not-die-1.19022#/b1,,,,
Apple Macs can't get viruses,Yes they can - just less frequently than Windows computers,10,,apple macs can't get viruses,,computing,"Switched, Betanews",http://www.switched.com/2009/09/01/apple-quietly-admits-macs-get-viruses/,http://betanews.com/2009/08/28/macs-don-t-get-viruses-myth-dissolves-before-public-s-eyes/,,,
Bananas grow on trees.,Nope. Bananas actually grow on massive herbs which resemble trees.,10,"55,600",y,"https://www.google.co.uk/search?q=%22pilgrims%22+wore+all+black&hl=en&tbo=d&source=lnms&sa=X&ei=283zUMiULcel0AXMg4DYCw&ved=0CAkQ_AUoAA&biw=1375&bih=700#hl=en&tbo=d&sclient=psy-ab&q=%22horse+flies%22+live+for+%2224+hours%22&oq=%22horse+flies%22+live+for+%2224+hours%22&gs_l=serp.3...24217.26713.95.27268.2.2.0.0.0.0.83.162.2.2.0.les%3B..0.0...1c.1.noQl4nmIIH8&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",nature,"Oxford Dictionaries, Morton, J. 1987. Banana. p. 29–46. In: Fruits of warm climates. Julia F. Morton, Miami, FL.
",http://oxforddictionaries.com/words/is-a-banana-a-fruit-or-a-herb,http://www.hort.purdue.edu/newcrop/morton/banana.html,,,
Bats are blind.,No. They can see AND use echolocation. Awesome!,8,"81,000",y,"https://www.google.co.uk/search?q=%22pilgrims%22+wore+all+black&hl=en&tbo=d&source=lnms&sa=X&ei=283zUMiULcel0AXMg4DYCw&ved=0CAkQ_AUoAA&biw=1375&bih=700#hl=en&tbo=d&sclient=psy-ab&q=%22bats+are+blind%22&oq=%22bats+are+blind%22&gs_l=serp.3..0l3j0i30.69228.74012.98.76271.14.14.0.0.0.1.332.1742.9j3j1j1.14.0.les%3B..0.0...1c.1.Aaf8WMh0egg&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",Nature,US Fish and Wildlife,http://web.archive.org/web/20080519095139/http://www.fws.gov/endangered/bats/miscon.htm,,,,
Black belts are masters,"Introduced only in 1880, in Judo, to show competency of basic techniques. ",12,"8,030,000","Black belts are masters -""six sigma""",,sport,,,,,,
Black holes absorb everything,Not really 'holes' but hugely dense objects with massive gravitational pull. ,11,"303,000",,"https://www.google.co.uk/search?q=%22pilgrims%22+wore+all+black&hl=en&tbo=d&source=lnms&sa=X&ei=283zUMiULcel0AXMg4DYCw&ved=0CAkQ_AUoAA&biw=1375&bih=700#hl=en&tbo=d&sclient=psy-ab&q=%22Black+holes%22+absorb+everything&oq=%22Black+holes%22+absorb+everything&gs_l=serp.3...47128.59859.45.60581.28.28.0.0.0.8.1042.8452.1j14j5j4j6-3j1.28.0.les%3B..0.0...1c.1.NfriyffsO-8&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=656",Science,NASA,http://imagine.gsfc.nasa.gov/docs/science/know_l2/black_holes.html,,,,
,Correction: a black hole *is* a hole in the metric of space time from which light cannot escape. But it is not a portal to another dimension. Thanks to Martin Vermeer.,31,,,,,,,,,,
Blood is blue under the skin,"Blood is always red, misconception is based on diagrams showing the difference between veins and arteries and human colour perception.",20,"84,800",y,"https://www.google.co.uk/webhp?source=search_app#hl=en&tbo=d&sclient=psy-ab&q=%22blood+is+blue%22+inside+the+body&oq=%22blood+is+blue%22+inside+the+body&gs_l=hp.3..0i7j0i5i30j0i8i30l2.4134.4639.7.4970.4.4.0.0.0.1.123.419.2j2.4.0.les%3B..0.0...1c.1.x5jEcqmu63A&pbx=1&bav=on.2,or.r_gc.r_pw.r_cp.r_qf.&bvm=bv.1357700187,d.d2k&fp=5d9affffb17376ff&biw=1375&bih=700",science,"Applied Optics, Michigan State University",https://www.imt.liu.se/edu/courses/TBMT36/pdf/blue.pdf,https://www.msu.edu/~kalinkat/professionalpages/TechMatrixMaterials/documentarybloodmisconceptions.htm,,,
Brainwashing,Hogwash. No evidence that people’s minds can be changed against their will,12,"5,510,000",,https://www.google.com/?gfe_rd=cr&ei=YP8cVreSItKs8wfKyISQDQ&gws_rd=cr#q=brainwashing,mind,Mythbusters,"https://en.wikipedia.org/wiki/Brainwashing#:~:text=Marks%20wrote%20in%20his%20book,catatonia%2C%20making%20any%20operational%20use",,,,
Bulls hate red.,Bulls are colour-blind. They actually react to motion as a perceived threat.,12,"7,120","y, ""bulls hate the color red""",https://www.google.co.uk/search?hl=en&safe=off&tbo=d&biw=1375&bih=700&q=%22bulls+hate+the+color+red%22&oq=%22bulls+hate+the+color+red%22&gs_l=serp.12..0i7l3j0i7i30l2j0i8i30.16052.24035.0.25590.12.12.0.0.0.1.204.1279.7j4j1.12.0.les%3B..0.0...1c.1.KgFcosgNICM,Nature,University of Tennessee,http://wayback.archive.org/web/jsp/Interstitial.jsp?seconds=5&date=1214357302000&url=http%3A%2F%2Fiacuc.tennessee.edu%2Fpdf%2FPolicies-AnimalCare%2FCattle-BasicCare.pdf&target=http%3A%2F%2Fweb.archive.org%2Fweb%2F20080625012822%2Fhttp%3A%2F%2Fiacuc.tennessee.edu%2Fpdf%2FPolicies-AnimalCare%2FCattle-BasicCare.pdf,,,,
